Buffer_ID,class
BK192529,40000-50000
SI331652,15000-20000
BK175422,40000-50000
SI224812,under 10000
SI10190,under 10000
SI869872,10000-15000
QN637730,20000-30000
QN17528,over 60000
BX288123,over 60000
SI304221,10000-15000
SI94536,under 10000
QN1261024,20000-30000
BX34985,20000-30000
BX5734177,30000-40000
BX50938,20000-30000
SI286146,15000-20000
QN199416,over 60000
BK545528,40000-50000
SI6413,10000-15000
QN995136,20000-30000
QN1155960,10000-15000
BX391340,40000-50000
SI618332,under 10000
QN1206792,20000-30000
QN309678,40000-50000
QN11562140,under 10000
SI155247,10000-15000
QN1001938,20000-30000
BK372513,30000-40000
BK19549,over 60000
QN499620,over 60000
BK126924,over 60000
QN1301146,15000-20000
BX296418,40000-50000
SI78854,under 10000
BX262031,over 60000
BK197366,40000-50000
SI3318112,10000-15000
BK1382114,over 60000
BX293750,40000-50000
QN329815,10000-15000
SI292039,10000-15000
SI288913,15000-20000
BX24186,over 60000
QN247723,40000-50000
BK614227,20000-30000
QN959163,30000-40000
BK175438,over 60000
BK790124,30000-40000
BX373125,40000-50000
QN1219928,20000-30000
SI84896,10000-15000
BX252524,over 60000
QN552058,15000-20000
QN416427,20000-30000
QN958918,30000-40000
QN820415,10000-15000
BK527080,15000-20000
BX563778,under 10000
SI57340,15000-20000
SI469720,under 10000
SI950393,under 10000
SI309313,10000-15000
QN1088321,20000-30000
SI1382,20000-30000
BK589332,40000-50000
BX5408176,15000-20000
BX42696,30000-40000
BK449635,15000-20000
SI56393,20000-30000
SI6431200,under 10000
BX3287122,over 60000
SI529734,10000-15000
BX543154,20000-30000
SI704527,10000-15000
SI10936,20000-30000
SI777433,under 10000
BK372323,30000-40000
QN1270645,15000-20000
QN1213613,10000-15000
SI657912,under 10000
QN11133176,20000-30000
BK680230,40000-50000
BX227514,40000-50000
SI602615,under 10000
QN166360,20000-30000
BK31734,over 60000
SI359415,under 10000
QN982463,over 60000
SI7534337,under 10000
BX410037,20000-30000
QN273316,20000-30000
BK51201,over 60000
BK711826,40000-50000
SI613260,10000-15000
QN1156122,10000-15000
SI119456,15000-20000
QN1192346,20000-30000
BX429534,40000-50000
BK392146,40000-50000
QN112263,15000-20000
BK659286,40000-50000
SI569299,15000-20000
QN169032,40000-50000
SI708578,10000-15000
SI780648,under 10000
BX58251580,under 10000
SI85391,10000-15000
SI1183217,10000-15000
BX5920369,15000-20000
BK479828,40000-50000
BK547816,40000-50000
QN1054626,20000-30000
QN1113024,20000-30000
SI2899315,20000-30000
SI42475,10000-15000
QN1288640,10000-15000
QN1175731,30000-40000
SI126170,10000-15000
BK64618,30000-40000
BX454424,40000-50000
SI35118,20000-30000
SI35117,20000-30000
BX58851263,20000-30000
BX409811,30000-40000
BX499010,20000-30000
BX565160,under 10000
BX58471343,10000-15000
BX557938,30000-40000
SI11431,15000-20000
BX556283,20000-30000
BK5677148,over 60000
BX298754,40000-50000
BX5920387,20000-30000
BK197363,40000-50000
